Requete;Triplet_1;Triplet_2;Triplet_3;Estimation_1;Estimation_2;Estimation_3
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country245};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country245;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country25;;;71;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country131};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country131;;;15;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country28};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country28;;;56;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country43};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country43;;;40;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country162};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country162;;;13;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country12};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country12;;;146;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country114};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country114;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country116};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country116;;;13;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country129};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country129;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country12};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country12;;;146;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country63;;;27;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country194};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country194;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country134};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country134;;;13;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country232};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country232;;;9;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country43};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country43;;;40;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country100};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country100;;;19;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country137;;;11;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country32};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country32;;;56;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country114};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country114;;;10;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18;;;93;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country149};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country149;;;14;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country91;;;21;;;
Select ?v0 WHERE {?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18};?v0 http://schema.org/eligibleRegion http://db.uwaterloo.ca/~galuc/wsdbm/Country18;;;93;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product137};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product137;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product235};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product235;;;7;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product155};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product155;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product84};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product84;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181;;;2;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product77};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product77;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product94};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product94;;;4;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product28};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product28;;;5;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product94};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product94;;;4;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product32};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product32;;;5;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product1};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product1;;;7;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product232};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product232;;;7;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product174};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product174;;;6;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product59};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product59;;;2;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product18};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product18;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product194};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product194;;;4;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product116};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product116;;;2;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product100};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product100;;;6;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87;;;3;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product41};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product41;;;3;;;
